,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,12250000,9960.0,3.0,2.0,2.0,Yes,,No,No,2.0,Yes,semi-furnished
1,10150000,16200.0,5.0,3.0,2.0,,,,No,0.0,No,
2,9800000,5750.0,3.0,2.0,4.0,,,No,Yes,1.0,,un-furnished
3,9800000,13200.0,3.0,1.0,2.0,Yes,No,No,,2.0,Yes,
4,8645000,8050.0,3.0,1.0,,Yes,,Yes,,1.0,No,furnished
5,8400000,7950.0,5.0,2.0,2.0,,,Yes,No,,No,
6,8400000,7000.0,3.0,1.0,4.0,Yes,No,No,Yes,2.0,,semi-furnished
7,8080940,7000.0,3.0,2.0,,,No,,Yes,,No,furnished
8,7980000,9000.0,4.0,2.0,4.0,Yes,,,,2.0,No,furnished
9,7840000,6360.0,3.0,2.0,4.0,Yes,,,Yes,0.0,,
10,7560000,6000.0,3.0,2.0,3.0,Yes,No,No,Yes,0.0,No,
11,7525000,6000.0,3.0,2.0,4.0,,No,No,,1.0,No,furnished
12,7490000,6600.0,3.0,1.0,4.0,Yes,No,,Yes,3.0,,furnished
13,7455000,4300.0,3.0,2.0,,Yes,,,,,No,
14,7350000,6000.0,4.0,2.0,,Yes,Yes,,Yes,1.0,No,furnished
15,7350000,6000.0,3.0,1.0,2.0,Yes,No,No,,1.0,No,
16,7245000,9000.0,4.0,2.0,4.0,,Yes,No,Yes,,Yes,furnished
17,7210000,7680.0,4.0,2.0,,Yes,,No,,,No,
18,7210000,6000.0,3.0,2.0,4.0,Yes,Yes,No,,1.0,No,
19,7140000,6000.0,3.0,2.0,2.0,,Yes,No,No,,,semi-furnished
20,6755000,6000.0,4.0,2.0,4.0,Yes,No,No,,0.0,No,un-furnished
21,6685000,6600.0,2.0,2.0,4.0,Yes,No,No,No,,Yes,furnished
22,6650000,4040.0,3.0,1.0,2.0,,No,,No,,No,furnished
